"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALBK","EQ","25-Jan-2019","         43.15","         43.20","         44.30","         42.95","         43.50","         43.40","         43.69","    2882673","           125953668.35","       8764","     489171","         16.97"
"ALBK","EQ","28-Jan-2019","         43.40","         43.60","         43.75","         42.05","         42.15","         42.30","         42.73","    2927614","           125105374.35","       8662","     547529","         18.70"
"ALBK","EQ","29-Jan-2019","         42.30","         42.00","         44.50","         41.90","         44.35","         43.90","         43.52","    4177910","           181832434.00","      13470","     621386","         14.87"
"ALBK","EQ","30-Jan-2019","         43.90","         43.90","         45.25","         43.70","         44.95","         44.90","         44.51","    4059691","           180698638.55","      15102","     801178","         19.73"
"ALBK","EQ","31-Jan-2019","         44.90","         45.10","         46.15","         44.80","         45.15","         45.15","         45.31","    9523555","           431540519.75","      22392","     897641","          9.43"
"ALBK","EQ","01-Feb-2019","         45.15","         45.85","         46.10","         43.50","         43.85","         44.40","         45.08","    4853011","           218794569.50","      12488","     912476","         18.80"
"ALBK","EQ","04-Feb-2019","         44.40","         43.20","         44.25","         42.90","         43.70","         43.55","         43.55","    2481746","           108071676.75","       6415","     217148","          8.75"
"ALBK","EQ","05-Feb-2019","         43.55","         43.25","         43.70","         41.80","         42.40","         42.45","         42.71","    3099175","           132365536.40","       7040","     467106","         15.07"
"ALBK","EQ","06-Feb-2019","         42.45","         42.50","         43.10","         40.20","         43.00","         42.35","         41.58","    6712425","           279115251.00","      14172","     236724","          3.53"
"ALBK","EQ","07-Feb-2019","         42.35","         42.05","         43.75","         41.65","         42.60","         42.60","         42.84","    9596358","           411067996.75","      15817","     319308","          3.33"
"ALBK","EQ","08-Feb-2019","         42.60","         42.25","         42.40","         40.50","         41.00","         41.05","         41.33","    4461784","           184415599.80","      10014","     580393","         13.01"
"ALBK","EQ","11-Feb-2019","         41.05","         41.00","         41.95","         39.15","         40.30","         39.85","         39.84","    4831183","           192477086.45","      11735","     357618","          7.40"
"ALBK","EQ","12-Feb-2019","         39.85","         40.00","         40.00","         38.95","         39.25","         39.25","         39.41","    2805526","           110578160.00","       7602","     305726","         10.90"
"ALBK","EQ","13-Feb-2019","         39.25","         38.90","         42.50","         38.65","         42.30","         41.65","         40.47","    5415500","           219149153.40","      12716","     994894","         18.37"
"ALBK","EQ","14-Feb-2019","         41.65","         41.60","         44.95","         40.50","         44.60","         43.80","         42.48","    5091425","           216272781.30","      11609","     956418","         18.78"
"ALBK","EQ","15-Feb-2019","         43.80","         43.40","         43.40","         41.20","         41.85","         42.00","         42.00","    4582466","           192485564.25","      10287","     295455","          6.45"
"ALBK","EQ","18-Feb-2019","         42.00","         41.90","         41.95","         40.85","         41.40","         41.45","         41.41","    1937824","            80243250.40","       5060","     104506","          5.39"
"ALBK","EQ","19-Feb-2019","         41.45","         41.05","         42.50","         40.80","         41.40","         41.55","         41.87","    2326021","            97397983.15","       6012","     153093","          6.58"
"ALBK","EQ","20-Feb-2019","         41.55","         41.95","         45.00","         41.30","         44.90","         44.20","         43.11","    6023961","           259707920.80","      16203","     933739","         15.50"
"ALBK","EQ","21-Feb-2019","         44.20","         48.60","         48.60","         45.15","         46.55","         46.30","         46.46","   24518586","          1139047293.10","      45447","    1025318","          4.18"
"ALBK","EQ","22-Feb-2019","         46.30","         46.00","         46.50","         44.85","         45.90","         45.85","         45.60","    9316749","           424807201.10","      18933","     298659","          3.21"
"ALBK","EQ","25-Feb-2019","         45.85","         45.25","         45.85","         44.70","         45.10","         45.05","         45.27","    4692895","           212432053.55","      10094","     368493","          7.85"
"ALBK","EQ","26-Feb-2019","         45.05","         44.35","         45.00","         43.20","         43.95","         44.00","         44.04","    6938443","           305567535.50","      13466","     404596","          5.83"
"ALBK","EQ","27-Feb-2019","         44.00","         45.00","         47.90","         45.00","         46.80","         47.40","         46.64","   27796648","          1296467111.05","      55378","    1622555","          5.84"
"ALBK","EQ","28-Feb-2019","         47.40","         47.00","         48.95","         46.40","         48.95","         48.00","         47.16","   18683211","           881185397.00","      27405","     973193","          5.21"
"ALBK","EQ","01-Mar-2019","         48.00","         48.15","         50.95","         47.55","         49.95","         50.30","         49.49","   13711530","           678524694.55","      25230","    1136728","          8.29"
"ALBK","EQ","05-Mar-2019","         50.30","         50.00","         52.60","         49.40","         52.20","         52.30","         51.36","   11317569","           581320044.60","      19845","    1029707","          9.10"
"ALBK","EQ","06-Mar-2019","         52.30","         52.30","         53.20","         50.80","         51.45","         51.45","         51.67","    8059766","           416477305.90","      15146","    1021067","         12.67"
"ALBK","EQ","07-Mar-2019","         51.45","         51.25","         56.00","         50.75","         55.85","         54.85","         53.60","   17007492","           911659696.60","      38696","    2705477","         15.91"
"ALBK","EQ","08-Mar-2019","         54.85","         54.00","         58.40","         53.75","         57.35","         57.60","         56.88","   29133782","          1657107252.40","      58756","    2196905","          7.54"
"ALBK","EQ","11-Mar-2019","         57.60","         57.40","         59.00","         56.70","         57.45","         57.85","         58.02","   12345532","           716259126.70","      26077","    1215489","          9.85"
"ALBK","EQ","12-Mar-2019","         57.85","         57.55","         58.45","         54.25","         55.00","         55.60","         56.76","   10040281","           569906482.95","      23468","    1033623","         10.29"
"ALBK","EQ","13-Mar-2019","         55.60","         55.40","         55.55","         53.95","         54.60","         54.40","         54.69","    8095422","           442777947.30","      17577","     654689","          8.09"
"ALBK","EQ","14-Mar-2019","         54.40","         54.50","         56.05","         54.05","         55.30","         55.20","         54.96","    8298595","           456093235.75","      15298","    1122589","         13.53"
"ALBK","EQ","15-Mar-2019","         55.20","         55.20","         56.85","         54.90","         55.05","         55.50","         55.85","    8046399","           449353684.35","      20156","    1129903","         14.04"
"ALBK","EQ","18-Mar-2019","         55.50","         55.70","         56.25","         54.80","         56.10","         55.75","         55.52","    6390505","           354807974.25","      13408","     707571","         11.07"
"ALBK","EQ","19-Mar-2019","         55.75","         56.65","         57.45","         55.60","         56.00","         56.20","         56.58","   10097616","           571294950.65","      25156","    1016939","         10.07"
"ALBK","EQ","20-Mar-2019","         56.20","         55.95","         56.25","         54.45","         54.95","         55.45","         55.36","    8457402","           468191799.95","      19210","     827449","          9.78"
"ALBK","EQ","22-Mar-2019","         55.45","         55.55","         55.75","         53.95","         54.20","         54.40","         54.93","    5993205","           329228235.00","      15291","    1079973","         18.02"
"ALBK","EQ","25-Mar-2019","         54.40","         53.75","         53.75","         52.20","         52.50","         52.55","         52.78","    5527866","           291772399.35","      13273","     809922","         14.65"
"ALBK","EQ","26-Mar-2019","         52.55","         52.55","         53.60","         50.60","         51.00","         50.95","         51.67","   15077891","           779094946.45","      50926","    7363837","         48.84"
"ALBK","EQ","27-Mar-2019","         50.95","         51.60","         52.60","         51.00","         52.40","         52.35","         52.01","    8744407","           454787729.05","      20811","    1372425","         15.69"
"ALBK","EQ","28-Mar-2019","         52.35","         52.35","         55.40","         52.35","         54.85","         54.90","         54.45","   14055512","           765369897.00","      30366","    3153287","         22.43"
"ALBK","EQ","29-Mar-2019","         54.90","         54.90","         55.80","         54.30","         54.55","         54.60","         55.03","    6926616","           381199356.00","      15296","    1010009","         14.58"
"ALBK","EQ","01-Apr-2019","         54.60","         55.50","         56.45","         53.80","         54.30","         54.45","         55.43","    7814179","           433137301.10","      20771","    1408287","         18.02"
"ALBK","EQ","02-Apr-2019","         54.45","         54.80","         56.00","         53.65","         55.40","         55.20","         55.03","    7326662","           403162080.00","      16372","     962813","         13.14"
"ALBK","EQ","03-Apr-2019","         55.20","         55.10","         56.15","         53.10","         53.40","         53.40","         54.49","    6369982","           347122361.90","      17478","     967134","         15.18"
"ALBK","EQ","04-Apr-2019","         53.40","         53.00","         54.95","         52.75","         53.50","         53.50","         53.81","    7012985","           377401736.90","      18111","     495244","          7.06"
"ALBK","EQ","05-Apr-2019","         53.50","         53.80","         54.20","         52.70","         53.50","         53.35","         53.30","    5542817","           295420882.80","      10780","     987152","         17.81"
"ALBK","EQ","08-Apr-2019","         53.35","         53.50","         55.30","         52.05","         52.35","         52.30","         53.53","    9786999","           523902067.95","      17693","    2350129","         24.01"
"ALBK","EQ","09-Apr-2019","         52.30","         52.50","         53.60","         51.35","         53.35","         53.25","         52.42","    6719560","           352252656.20","      14032","     740245","         11.02"
"ALBK","EQ","10-Apr-2019","         53.25","         53.20","         54.00","         52.85","         53.30","         53.25","         53.33","    5051753","           269396650.00","      11394","     454355","          8.99"
