"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJ-AUTO","EQ","18-Sep-2019","       2773.15","       2798.00","       2819.00","       2750.10","       2775.00","       2777.05","       2778.87","     524048","          1456262731.25","      35511","      51902","          9.90"
"BAJAJ-AUTO","EQ","19-Sep-2019","       2777.05","       2773.00","       2776.00","       2721.45","       2736.30","       2738.85","       2745.73","     228796","           628212120.20","      23098","      37272","         16.29"
"BAJAJ-AUTO","EQ","20-Sep-2019","       2738.85","       2730.00","       3020.10","       2725.00","       2928.90","       2929.25","       2908.28","    1423536","          4140036043.75","      97729","     387262","         27.20"
"BAJAJ-AUTO","EQ","23-Sep-2019","       2929.25","       2956.10","       3027.15","       2929.00","       2997.85","       2995.15","       2988.73","     807027","          2411983256.85","      62447","     238572","         29.56"
"BAJAJ-AUTO","EQ","24-Sep-2019","       2995.15","       3001.00","       3005.00","       2929.20","       2966.95","       2958.15","       2958.75","     479273","          1418048003.70","      45637","     179712","         37.50"
"BAJAJ-AUTO","EQ","25-Sep-2019","       2958.15","       2940.00","       2965.00","       2910.00","       2938.00","       2941.00","       2936.36","     439376","          1290164742.85","      36217","     131044","         29.83"
"BAJAJ-AUTO","EQ","26-Sep-2019","       2941.00","       2942.00","       2993.00","       2935.00","       2969.95","       2970.30","       2968.44","     647497","          1922054905.05","      42118","     278157","         42.96"
"BAJAJ-AUTO","EQ","27-Sep-2019","       2970.30","       2964.00","       2989.55","       2936.15","       2951.10","       2957.50","       2958.83","     326785","           966901656.25","      25800","      85501","         26.16"
"BAJAJ-AUTO","EQ","30-Sep-2019","       2957.50","       2960.10","       2974.95","       2902.50","       2928.05","       2941.80","       2935.62","     384245","          1127997145.75","      27574","     142905","         37.19"
"BAJAJ-AUTO","EQ","01-Oct-2019","       2941.80","       2945.00","       2977.70","       2888.05","       2915.95","       2910.00","       2925.89","     546876","          1600098168.65","      37011","      87206","         15.95"
"BAJAJ-AUTO","EQ","03-Oct-2019","       2910.00","       2915.00","       2939.70","       2882.50","       2883.80","       2897.90","       2906.09","     292132","           848960577.20","      47328","      82623","         28.28"
"BAJAJ-AUTO","EQ","04-Oct-2019","       2897.90","       2915.00","       2935.00","       2855.00","       2856.00","       2863.55","       2903.42","     342652","           994861078.75","      32953","      95899","         27.99"
"BAJAJ-AUTO","EQ","07-Oct-2019","       2863.55","       2859.90","       2900.05","       2854.95","       2888.90","       2892.30","       2880.69","     276023","           795137875.60","      22126","      55225","         20.01"
"BAJAJ-AUTO","EQ","09-Oct-2019","       2892.30","       2889.00","       2915.00","       2877.75","       2879.50","       2891.85","       2894.48","     355878","          1030083154.80","      23178","     156712","         44.04"
"BAJAJ-AUTO","EQ","10-Oct-2019","       2891.85","       2881.00","       2932.00","       2865.00","       2898.00","       2886.25","       2900.10","     313632","           909565730.40","      25151","      94064","         29.99"
"BAJAJ-AUTO","EQ","11-Oct-2019","       2886.25","       2898.00","       2925.00","       2883.55","       2899.50","       2898.80","       2901.27","     198610","           576222182.30","      15473","      41448","         20.87"
